,Airline ID,Source airport,Source airport ID,Destination airport,Destination airport ID
0,410,AER,2965,KZN,2990
1,410,ASF,2966,KZN,2990
2,410,ASF,2966,MRV,2962
3,410,CEK,2968,KZN,2990
4,410,CEK,2968,OVB,4078
5,410,DME,4029,KZN,2990
6,410,DME,4029,NBC,6969
8,410,DME,4029,UUA,6160
9,410,EGO,6156,KGD,2952
10,410,EGO,6156,KZN,2990
11,410,GYD,2922,NBC,6969
12,410,KGD,2952,EGO,6156
13,410,KZN,2990,AER,2965
14,410,KZN,2990,ASF,2966
15,410,KZN,2990,CEK,2968
16,410,KZN,2990,DME,4029
17,410,KZN,2990,EGO,6156
18,410,KZN,2990,LED,2948
19,410,KZN,2990,SVX,2975
20,410,LED,2948,KZN,2990
21,410,LED,2948,NBC,6969
22,410,LED,2948,UUA,6160
23,410,MRV,2962,ASF,2966
24,410,NBC,6969,DME,4029
25,410,NBC,6969,GYD,2922
26,410,NBC,6969,LED,2948
27,410,NBC,6969,SVX,2975
28,410,NJC,2972,SVX,2975
29,410,NJC,2972,UUA,6160
30,410,NUX,4364,SVX,2975
31,410,OVB,4078,CEK,2968
32,410,OVB,4078,SVX,2975
33,410,SVX,2975,KZN,2990
34,410,SVX,2975,NBC,6969
35,410,SVX,2975,NJC,2972
36,410,SVX,2975,NUX,4364
37,410,SVX,2975,OVB,4078
39,410,UUA,6160,DME,4029
40,410,UUA,6160,LED,2948
41,410,UUA,6160,NJC,2972
42,1654,BTK,2936,IKT,2937
43,1654,BTK,2936,OVB,4078
44,1654,CEK,2968,OVB,4078
45,1654,HTA,2935,IKT,2937
46,1654,IKT,2937,BTK,2936
47,1654,IKT,2937,HTA,2935
49,1654,IKT,2937,OVB,4078
50,1654,IKT,2937,UKX,6924
51,1654,IKT,2937,ULK,9026
52,1654,IKT,2937,YKS,2923
54,1654,MJZ,2925,OVB,4078
55,1654,OVB,4078,BTK,2936
56,1654,OVB,4078,CEK,2968
57,1654,OVB,4078,IKT,2937
58,1654,UKX,6924,IKT,2937
59,1654,ULK,9026,IKT,2937
60,1654,YKS,2923,IKT,2937
61,8359,AYP,2786,LIM,2789
62,8359,CUZ,2812,LIM,2789
63,8359,CUZ,2812,PEM,2808
64,8359,HUU,6067,LIM,2789
65,8359,IQT,2801,PCL,2781
66,8359,IQT,2801,TPP,2806
67,8359,LIM,2789,AYP,2786
68,8359,LIM,2789,CUZ,2812
69,8359,LIM,2789,HUU,6067
70,8359,LIM,2789,PCL,2781
71,8359,LIM,2789,TPP,2806
72,8359,PCL,2781,IQT,2801
73,8359,PCL,2781,LIM,2789
74,8359,PCL,2781,TPP,2806
75,8359,PEM,2808,CUZ,2812
76,8359,TPP,2806,IQT,2801
77,8359,TPP,2806,LIM,2789
78,8359,TPP,2806,PCL,2781
79,470,ABJ,253,BOY,247
80,470,ABJ,253,OUA,246
81,470,ACC,248,OUA,246
82,470,BKO,1044,ABJ,253
83,470,BKO,1044,DKR,1084
84,470,BKO,1044,OUA,246
85,470,BOY,247,ABJ,253
86,470,BOY,247,OUA,246
87,470,COO,245,LFW,298
88,470,COO,245,OUA,246
89,470,DKR,1084,BKO,1044
90,470,DKR,1084,OUA,246
91,470,LFW,298,OUA,246
92,470,NIM,280,OUA,246
93,470,OUA,246,ABJ,253
94,470,OUA,246,ACC,248
95,470,OUA,246,BKO,1044
96,470,OUA,246,BOY,247
97,470,OUA,246,COO,245
98,470,OUA,246,DKR,1084
99,470,OUA,246,LFW,298
100,470,OUA,246,NIM,280
101,1338,BOG,2709,GYE,2673
102,1338,BOG,2709,UIO,2688
103,1338,CLO,2715,GYE,2673
104,1338,GYE,2673,BOG,2709
105,1338,GYE,2673,CLO,2715
106,1338,GYE,2673,SCY,6045
107,1338,GYE,2673,UIO,2688
108,1338,OCC,2670,UIO,2688
109,1338,SCY,6045,GYE,2673
110,1338,UIO,2688,BOG,2709
111,1338,UIO,2688,GYE,2673
112,1338,UIO,2688,OCC,2670
113,2750,BDS,1506,ZRH,1678
114,2750,BOD,1264,ZRH,1678
115,2750,BRS,490,ZRH,1678
116,2750,GVA,1665,LPA,1054
117,2750,LCA,1197,ZRH,1678
118,2750,LPA,1054,ZRH,1678
119,2750,RMF,4197,ZRH,1678
120,2750,TFS,1056,GVA,1665
121,2750,ZRH,1678,BDS,1506
122,2750,ZRH,1678,BOD,1264
123,2750,ZRH,1678,BRS,490
124,2750,ZRH,1678,LCA,1197
125,2750,ZRH,1678,LPA,1054
126,2750,ZRH,1678,RMF,4197
127,3652,AJR,730,LYC,719
128,3652,ARN,737,GEV,715
129,3652,ARN,737,HAD,709
130,3652,ARN,737,JKG,688
131,3652,ARN,737,KRF,718
132,3652,ARN,737,KSD,5595
133,3652,ARN,737,LYC,719
134,3652,ARN,737,MHQ,442
135,3652,ARN,737,OER,722
136,3652,ARN,737,POR,448
137,3652,ARN,737,TRF,664
138,3652,ARN,737,VBY,746
139,3652,ARN,737,VHM,729
140,3652,ARN,737,VXO,711
141,3652,GEV,715,ARN,737
142,3652,GEV,715,KRF,718
143,3652,HAD,709,ARN,737
144,3652,HAD,709,JKG,688
145,3652,HAD,709,VXO,711
146,3652,HMV,5599,VHM,729
147,3652,JKG,688,ARN,737
148,3652,JKG,688,HAD,709
149,3652,KOK,435,POR,448
150,3652,KRF,718,ARN,737
151,3652,KRF,718,GEV,715
152,3652,KSD,5595,ARN,737
153,3652,LYC,719,AJR,730
154,3652,LYC,719,ARN,737
155,3652,MHQ,442,ARN,737
156,3652,MHQ,442,TKU,460
157,3652,OER,722,ARN,737
158,3652,OSL,644,VXO,711
159,3652,POR,448,ARN,737
160,3652,POR,448,KOK,435
161,3652,TKU,460,MHQ,442
162,3652,TRF,664,ARN,737
163,3652,VBY,746,ARN,737
164,3652,VHM,729,ARN,737
165,3652,VHM,729,HMV,5599
166,3652,VXO,711,ARN,737
167,3652,VXO,711,OSL,644
168,146,ADQ,3531,AOS,7167
169,146,ADQ,3531,KKB,7168
170,146,ADQ,3531,KLN,7162
171,146,ADQ,3531,KOZ,7164
172,146,ADQ,3531,OLH,7163
173,146,AOS,7167,KZB,7176
174,146,KKB,7168,SYB,7173
175,146,KLN,7162,KYK,7161
176,146,KOZ,7164,ORI,7165
177,146,SYB,7173,KPR,7172
178,897,BSO,6019,MNL,2397
179,897,BXU,4200,MNL,2397
180,897,CBO,2399,MNL,2397
181,897,CGY,2400,MNL,2397
182,897,CRM,6024,MNL,2397
183,897,DGT,2425,MNL,2397
184,897,DWC,8076,MNL,2397
185,897,GES,2402,MNL,2397
186,897,KLO,2430,MNL,2397
187,897,LGP,4203,MNL,2397
188,897,MNL,2397,BSO,6019
189,897,MNL,2397,BXU,4200
190,897,MNL,2397,CBO,2399
191,897,MNL,2397,CGY,2400
192,897,MNL,2397,CRM,6024
193,897,MNL,2397,DGT,2425
194,897,MNL,2397,DWC,8076
195,897,MNL,2397,GES,2402
196,897,MNL,2397,KLO,2430
197,897,MNL,2397,LGP,4203
198,897,MNL,2397,MPH,2426
199,897,MNL,2397,OZC,4204
200,897,MNL,2397,PPS,2433
201,897,MNL,2397,RXS,6026
202,897,MNL,2397,SUG,6016
203,897,MNL,2397,TUG,6021
204,897,MNL,2397,ZAM,2404
205,897,MPH,2426,MNL,2397
206,897,OZC,4204,MNL,2397
207,897,PPS,2433,MNL,2397
208,897,RXS,6026,MNL,2397
209,897,SUG,6016,MNL,2397
210,897,TUG,6021,MNL,2397
211,897,ZAM,2404,MNL,2397
212,1729,AUX,7376,PMW,4214
213,1729,BRA,7373,BSB,2531
214,1729,BRA,7373,SSA,2621
215,1729,BSB,2531,BRA,7373
216,1729,BSB,2531,OPS,7367
217,1729,BSB,2531,RAO,2613
218,1729,CAC,2535,GRU,2564
219,1729,CGB,2548,GYN,2562
220,1729,CGB,2548,OPS,7367
221,1729,CGR,2538,DOU,7380
